ID,Ime,Spol,Rojstni Kraj,Leto Rojstva,Starost,Stanje,Ogledi Slo,Ogledi Ang,Povezave Slo,Povezave Ang,Dolžina Slo,Dolžina Ang
1031,France Prešeren,Moški,Vrba,1800,48,Mrtev,5194,2032,859,572,2118,3934
1051,Ivan Regen,Moški,Gorenja vas,1868,78,Mrtev,23,54,24,102,667,684
1783,Primož Kozmus,Moški,Novo mesto,1979,40,Živ,1066,751,98,320,1001,965
5344,Roman Jerala,Moški,Jesenice,1962,57,Živ,27,40,52,5,884,509
5345,Boris Sket,Moški,Ljubljana,1936,83,Živ,34,58,161,20,1110,586
5346,Matija Gogala,Moški,Ljubljana,1937,81,Živ,15,39,25,15,652,452
5347,Franc Gubenšek,Moški,Celje,1937,72,Mrtev,7,8,53,8,743,314
5348,Jovan Hadži,Moški,Timișoara,1884,88,Mrtev,109,134,283,21,1368,515
5349,Fran Jesenko,Moški,Škofja Loka,1875,57,Mrtev,54,32,17,14,566,610
5352,Ernest Mayer,Moški,Zgornji Tuhinj,1920,88,Mrtev,10,102,18,14,278,453
5364,Anton Polenec,Moški,Puštal,1910,90,Mrtev,14,24,11,6,441,259
5365,Kazimir Tarman,Moški,Maribor,1930,89,Živ,9,19,15,6,517,211
10085,Tina Maze,Ženska,Slovenj Gradec,1983,36,Živ,704,1899,272,416,3764,4933
11884,Ferdinand Avguštin Hallerstein,Moški,Ljubljana,1703,71,Mrtev,91,136,32,50,1161,666
11931,Tim Matavž,Moški,Šempeter pri Gorici,1989,30,Živ,79,2355,37,190,598,1158
12890,Franko Luin,Moški,Trst,1941,64,Mrtev,5,53,9,21,687,452
14962,Emil Adamič,Moški,"Dobrova, Dobrova - Polhov Gradec",1877,58,Mrtev,54,80,69,51,703,309
15794,Tomaž Šalamun,Moški,Zagreb,1941,73,Mrtev,290,357,557,355,3462,2823
15800,Fran Levstik,Moški,Dolnje Retje,1831,56,Mrtev,2215,310,243,150,2770,604
15803,Simon Jenko,Moški,Podreča,1835,33,Mrtev,1274,202,108,116,776,580
15806,Dragotin Kette,Moški,Prem,1876,23,Mrtev,899,235,205,217,1231,1258
15809,Ivan Cankar,Moški,Vrhnika,1876,42,Mrtev,3467,1086,479,189,1600,3397
15904,Milan Jesih,Moški,Ljubljana,1950,69,Živ,137,67,694,117,4735,1568
15909,Jože Javoršek,Moški,Velike Lašče,1920,69,Mrtev,121,81,481,228,4243,3732
16581,Jožef Stefan,Moški,,1835,57,Mrtev,342,1027,107,162,3780,1086
26276,Klemen Lavrič,Moški,Trbovlje,1981,38,Živ,16,102,13,58,243,671
26280,Sergej Šalamon,Moški,,1975,44,Živ,8,5,6,9,86,123
26309,Amir Karič,Moški,Orahovica Donja,1973,45,Živ,96,260,49,91,254,840
26315,Željko Milinovič,Moški,Ljubljana,1969,50,Živ,29,142,43,76,359,658
39314,Romana Jordan,Ženska,Celje,1966,53,Živ,48,27,15,90,439,342
45502,Anton Stres,Moški,Donačka Gora,1942,76,Živ,70,88,64,19,1312,1219
46256,Žan Košir,Moški,Tržič,1984,35,Živ,340,138,22,66,485,378
46662,Riccardo Divora,Moški,Koper,1908,42,Mrtev,0,21,12,9,71,73
57329,Danilo Türk,Moški,Maribor,1952,67,Živ,242,1021,116,185,1602,2153
57627,Janez Janša,Moški,Grosuplje,1958,61,Živ,1136,3536,1429,570,6792,7215
58079,Karl Erjavec,Moški,,1960,59,Živ,277,369,193,81,1354,871
58449,Anja Rupel,Ženska,Ljubljana,1966,53,Živ,285,714,75,36,486,413
61219,Fredi Bobič,Moški,Maribor,1971,47,Živ,19,2822,6,235,121,1539
78482,Friderik Pregl,Moški,Ljubljana,1869,61,Mrtev,545,734,91,279,3316,1089
78592,Jakob Lorber,Moški,,1800,64,Mrtev,34,568,12,43,508,2394
79131,Alma Maksimiljana Karlin,Ženska,Celje,1889,60,Mrtev,731,401,47,92,1351,1344
84444,Jernej Kopitar,Moški,Repnje,1780,63,Mrtev,399,371,116,98,1139,1173
85040,Stanko Bloudek,Moški,Idrija,1890,69,Mrtev,115,70,63,35,1960,923
85079,Richard Verderber,Moški,Kočevje,1884,71,Mrtev,5,33,9,17,333,221
86243,Blaž Kocen,Moški,Hotunje,1821,50,Mrtev,19,15,6,4,357,665
87156,Franz Naval,Moški,Ljubljana,1865,74,Mrtev,2,23,5,5,456,305
90003,Ernst Mally,Moški,Kranj,1879,65,Mrtev,12,195,10,33,1326,1269
90558,Pavel Pachner,Moški,Maribor,1871,66,Mrtev,6,57,2,5,305,177
93401,Franc Miklošič,Moški,Radomerščak,1813,77,Mrtev,218,288,102,173,811,997
93520,Jurij Vega,Moški,Zagorica pri Dolskem,1754,48,Mrtev,582,423,103,134,3015,1426
93955,Florjan Lipuš,Moški,Lobnik,1937,82,Živ,124,136,527,125,2718,1451
93959,Maja Haderlap,Ženska,,1961,58,Živ,148,289,311,122,489,1947
93975,Andrej Turjaški,Moški,Žužemberk,1556,37,Mrtev,187,168,16,79,127,896
112301,Janez Žiga Valentin Popovič,Moški,Celje,1705,69,Mrtev,23,35,13,69,367,387
112486,Lovrenc Košir,Moški,Spodnja Luša,1804,75,Mrtev,35,44,71,90,897,664
