ID,Poklic
1031,Pesnik pravnik
1031,Pesnik
1031,Odvetnik
1031,Pisatelj
1051,Entomolog
1051,Biolog
1783,Metalec kladiva
1783,Atlet
5344,Biokemik
5344,Raziskovalec
5345,Karcinolog
5345,Zoolog
5346,Entomolog
5346,Zoolog
5347,Biokemik
5347,Biolog
5347,Kemik
5348,Arahnolog
5348,Biolog
5348,Zoolog
5348,Pisatelj
5349,Genetik
5349,Botanik
5352,Botanik
5364,Arahnolog
5364,Zoolog
5364,Partizan
5364,Pisatelj
5365,Ekolog
5365,Popularizator znanosti
5365,Znanstveni pisatelj
5365,Zoolog
10085,Alpski smučar
11884,Demograf
11884,Redovnik
11884,Matematik
11884,Astronom
11931,Nogometaš
12890,Oblikovalec
12890,Esperantist
12890,Grafični oblikovalec
12890,Prevajalec
14962,Glasbeni učitelj
14962,Kritik
14962,Glasbeni kritik
14962,Dirigent
14962,Skladatelj
15794,Pesnik
15794,Pisatelj
15800,Jezikoslovec
15800,Filolog
15800,Literarni kritik
15800,Dramatik
15800,Politik
15800,Pesnik
15800,Pisatelj
15803,Politik
15803,Pesnik
15803,Pisatelj
15806,Mladinski pisatelj
15806,Pesnik
15806,Pisatelj
15809,Esejist
15809,Romanopisec
15809,Dramatik
15809,Politik
15809,Pesnik
15809,Pisatelj
15904,Prevajalec
15904,Dramatik
15904,Pesnik
15909,Jezikoslovec
15909,Esejist
15909,Literarni kritik
15909,Prevajalec
15909,Dramatik
15909,Partizan
15909,Pesnik
15909,Pisatelj
16581,Akademik
16581,Matematik
16581,Fizik
16581,Profesor
16581,Pesnik
16581,Pisatelj
26276,Nogometaš
26280,Atlet
26309,Nogometaš
26315,Nogometaš
39314,Fizik
39314,Politik
45502,Filozof
45502,Teolog
45502,Redovnik
45502,Duhovnik
46256,Deskar na snegu
46662,Veslač
57329,Univerzitetni profesor
57329,Zgodovinar
57329,Diplomat
57329,Pravnik
57329,Politik
57627,Politik
58079,Pravnik
58079,Politik
58079,Odvetnik
58449,Filmski igralec
58449,Radijski voditelj
58449,Novinar
58449,Kantavtor
61219,Nogometaš
78482,Kemik
78482,Fizik
78482,Profesor
78482,Farmacevt
78482,Zdravnik
78592,Filozof
78592,Psihik
78592,Violinist
78592,Glasbenik
78592,Astrolog
78592,Skladatelj
78592,Pisatelj
79131,Potopisec
79131,Pesnik
79131,Pisatelj
84444,Jezikoslovec
84444,Prevajalec
84444,Knjižničar
84444,Pisatelj
85040,Umetnostni drsalec
85040,Atlet
85040,Nogometaš
85040,Inženir
85040,Arhitekt
85079,Sabljač
85079,Vojak
86243,Kartograf
86243,Geograf
86243,Duhovnik
87156,Glasbeni učitelj
87156,Operni pevec
87156,Pevec
90003,Univerzitetni profesor
90003,Politik
90003,Filozof
90558,Častnik
93401,Slavist
93401,Jezikoslovec
93401,Filolog
93401,Filozof
93401,Pedagog
93401,Pravnik
93401,Knjižničar
93401,Profesor
93401,Politik
93401,Odvetnik
93401,Pisatelj
93520,Geodet
93520,Meteorolog
93520,Častnik
93520,Matematik
93520,Fizik
93520,Inženir
93520,Astronom
93955,Novinar
93955,Avtor
93955,Prevajalec
93955,Učitelj
93955,Pisatelj
93959,Dramaturg
93959,Prevajalec
93959,Pesnik
93959,Pisatelj
